IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.153.139,217,253,233,0
172.67.53.245,217,255,233,0
104.27.101.208,220,267,233,0
104.27.198.189,218,265,233,0
104.23.110.155,226,247,233,0
104.24.11.37,221,255,233,0
172.67.84.20,217,262,233,0
104.24.52.163,212,249,233,0
104.27.7.108,218,251,233,0
104.24.45.206,222,248,233,0
104.20.167.128,221,248,233,0
104.24.216.59,225,244,233,0
104.25.216.117,220,253,233,0
104.20.57.205,218,248,233,0
104.20.86.235,218,254,233,0
104.22.44.124,217,249,233,0
104.20.134.54,227,239,233,0
104.27.42.89,219,250,233,0
104.20.190.216,220,255,233,0
104.25.243.42,216,255,233,0
104.20.130.106,223,252,233,0
104.25.158.155,220,252,233,0
104.20.13.65,221,256,233,0
172.67.6.41,227,242,233,0
104.24.199.162,221,248,233,0
104.22.48.43,220,252,233,0
104.25.161.228,217,247,233,0
104.22.13.20,212,248,233,0
104.22.34.99,225,252,233,0
104.25.83.81,219,265,234,0
104.24.32.50,218,255,234,0
104.20.165.243,218,254,234,0
172.67.58.31,222,249,234,0
104.20.202.243,221,255,234,0
172.67.81.140,212,261,234,0
104.22.35.149,218,245,234,0
104.24.201.246,222,253,234,0
172.67.83.62,216,255,234,0
104.20.193.34,225,254,234,0
104.20.253.161,218,250,234,0
104.25.136.165,220,251,234,0
104.20.218.121,225,258,234,0
104.27.77.13,218,253,234,0
162.159.35.251,219,256,234,0
104.25.64.30,220,251,234,0
104.20.132.177,223,250,234,0
104.27.80.246,219,249,234,0
104.20.200.107,221,250,234,0
104.24.215.84,225,254,234,0
172.67.90.121,215,254,234,0
104.24.145.230,223,254,234,0
172.67.89.41,211,334,234,0
104.27.118.224,220,249,234,0
104.20.143.238,222,253,234,0
104.20.89.77,224,248,234,0
104.25.3.244,218,246,234,0
104.25.89.195,224,248,234,0
104.24.142.211,217,257,234,0
104.20.51.217,217,262,234,0
104.20.133.148,223,253,234,0
104.25.53.26,224,245,234,0
104.24.28.3,218,270,234,0
104.20.63.31,222,246,234,0
104.20.245.228,224,250,234,0
104.20.66.210,220,253,234,0
104.24.68.48,221,256,234,0
104.24.170.179,222,255,234,0
104.20.196.191,218,256,234,0
104.24.57.68,214,261,234,0
104.25.28.145,222,254,234,0
104.24.81.11,224,255,234,0
104.25.33.160,225,259,234,0
172.67.80.117,223,251,234,0
104.25.20.63,218,256,234,0
104.24.0.175,223,258,234,0
104.20.108.157,224,252,234,0
104.27.27.25,222,258,234,0
104.27.21.73,223,252,234,0
104.20.192.237,223,258,234,0
104.25.178.12,223,253,234,0
104.25.164.21,220,247,235,0
104.27.12.18,221,258,235,0
104.20.214.52,220,254,235,0
104.27.10.59,221,255,235,0
172.67.63.58,224,247,235,0
104.24.53.177,226,255,235,0
104.25.204.160,223,252,235,0
104.25.238.182,223,244,235,0
104.27.3.80,223,258,235,0
104.24.39.201,225,251,235,0
104.25.229.85,224,258,235,0
104.20.180.100,218,266,235,0
104.25.170.60,218,256,235,0
104.27.76.166,221,249,235,0
172.67.0.115,223,250,235,0
172.67.65.175,220,254,235,0
104.23.124.59,222,256,235,0
104.25.99.90,218,252,235,0
104.27.16.11,224,256,235,0
104.20.81.236,219,252,235,0
104.20.252.12,221,250,235,0
104.24.37.152,220,263,235,0
104.23.115.138,222,249,235,0
104.20.103.199,221,255,235,0
104.20.34.164,215,250,235,0
104.20.20.227,223,256,235,0
104.20.229.80,219,245,235,0
104.22.18.121,219,258,235,0
104.20.225.73,210,331,235,0
172.67.34.102,227,259,235,0
104.25.82.95,221,251,235,0
104.20.98.36,221,260,235,0
104.24.69.105,227,252,235,0
104.20.254.125,220,269,235,0
104.27.50.63,223,257,235,0
104.20.226.112,225,245,235,0
104.27.59.9,223,253,235,0
104.20.119.147,223,242,235,0
104.25.226.120,225,251,235,0
104.27.88.27,219,260,235,0
104.20.240.35,221,264,235,0
104.24.60.58,220,277,235,0
104.27.45.56,225,250,235,0
104.25.29.215,221,251,235,0
104.20.179.203,223,256,235,0
104.25.62.206,221,256,235,0
104.27.39.163,220,248,235,0
172.67.28.171,219,263,235,0
104.20.52.90,221,252,235,0
172.67.124.142,222,264,235,0
104.24.26.115,215,251,235,0
104.25.160.123,215,254,235,0
104.20.83.124,226,258,235,0
104.20.141.224,227,251,235,0
172.67.87.111,225,264,236,0
104.20.4.28,229,247,236,0
104.23.118.110,224,245,236,0
104.20.65.14,223,251,236,0
104.22.56.54,227,247,236,0
104.22.31.134,219,256,236,0
104.25.163.233,216,250,236,0
172.67.7.29,220,255,236,0
104.20.198.197,225,251,236,0
104.26.9.153,226,259,236,0
104.20.189.145,221,256,236,0
104.24.35.81,220,260,236,0
104.27.127.205,222,255,236,0
104.24.72.19,221,257,236,0
104.20.184.73,221,250,236,0
172.67.20.43,223,259,236,0
104.22.42.69,224,248,236,0
104.25.129.5,223,265,236,0
104.22.7.204,225,267,236,0
104.27.47.159,227,256,236,0
104.22.24.96,221,249,236,0
104.27.91.44,225,247,236,0
172.67.37.83,218,250,236,0
104.25.200.10,223,258,236,0
104.25.180.174,220,262,236,0
104.20.97.1,224,250,236,0
104.24.38.253,216,258,236,0
104.24.76.118,219,259,236,0
104.20.255.135,221,263,236,0
104.25.125.100,227,257,236,0
104.20.28.166,225,258,236,0
172.67.108.126,219,249,236,0
104.20.175.196,208,332,236,0
172.67.23.2,225,250,236,0
104.22.0.150,222,253,236,0
104.27.6.88,224,258,236,0
172.67.106.160,221,247,236,0
172.67.93.205,223,253,237,0
104.25.141.82,225,253,237,0
104.22.54.148,222,251,237,0
104.27.90.202,218,256,237,0
104.24.89.104,219,254,237,0
104.20.210.22,221,260,237,0
104.25.249.98,224,253,237,0
104.22.2.114,222,257,237,0
104.24.128.196,223,266,237,0
104.25.17.157,223,251,237,0
104.20.238.174,220,258,237,0
104.27.104.51,207,340,237,0
104.24.49.208,227,253,237,0
104.25.6.203,223,261,237,0
104.24.66.254,229,251,237,0
104.27.98.38,219,254,237,0
104.20.166.194,219,250,237,0
104.20.127.172,223,265,237,0
104.24.17.131,222,248,237,0
104.20.11.131,223,255,237,0
104.22.38.22,219,258,237,0
104.22.51.106,221,262,237,0
104.22.74.109,228,280,237,0
104.20.197.170,210,333,237,0
172.67.102.144,224,257,237,0
104.20.144.167,225,260,237,0
104.23.143.4,224,253,237,0
104.20.244.214,223,253,237,0
104.20.152.104,226,258,237,0
104.24.208.165,217,266,237,0
104.27.74.116,224,257,237,0
104.27.108.69,226,250,237,0
104.27.82.227,225,261,237,0
104.20.122.242,223,254,237,0
172.67.51.4,219,263,237,0
104.23.98.111,222,261,237,0
104.23.96.124,224,262,237,0
104.27.0.230,221,258,237,0
104.27.29.190,225,259,237,0
104.22.19.173,223,251,237,0
172.67.40.77,220,254,237,0
172.67.11.55,211,336,238,0
104.20.156.145,223,247,238,0
104.27.93.243,224,258,238,0
104.20.185.127,227,253,238,0
104.25.152.244,228,259,238,0
104.27.57.121,222,257,238,0
104.24.4.157,223,260,238,0
104.26.10.90,220,260,238,0
104.27.8.195,220,256,238,0
104.20.41.36,222,250,238,0
104.25.114.50,223,263,238,0
172.67.74.241,228,257,238,0
104.27.13.79,217,258,238,0
104.20.104.248,229,251,238,0
104.24.58.120,227,248,238,0
104.23.140.61,228,250,238,0
104.23.133.54,223,271,238,0
104.24.25.39,222,255,238,0
104.22.40.133,225,256,238,0
104.27.46.166,221,260,238,0
104.25.47.242,222,252,238,0
104.27.116.177,226,257,238,0
104.25.121.133,221,271,238,0
104.23.114.121,216,254,238,0
104.23.121.211,229,253,238,0
104.25.100.203,220,265,238,0
104.25.246.221,222,252,238,0
104.20.121.208,224,258,238,0
104.24.214.16,228,246,238,0
104.20.237.248,224,260,238,0
104.24.78.70,222,265,238,0
172.67.56.107,225,259,238,0
104.20.56.184,222,254,238,0
104.24.2.47,226,253,238,0
172.67.100.143,227,259,238,0
104.20.239.54,222,259,238,0
104.20.32.131,229,249,238,0
104.25.66.204,225,257,238,0
104.27.28.11,223,258,238,0
104.22.28.88,226,246,238,0
104.24.140.58,227,249,239,0
104.20.233.237,229,247,239,0
104.23.120.226,232,251,239,0
104.27.97.70,223,257,239,0
104.20.123.112,226,255,239,0
104.24.253.202,222,269,239,0
104.27.99.194,226,262,239,0
104.27.199.55,222,259,239,0
104.22.21.36,221,256,239,0
104.24.73.51,220,260,239,0
104.25.75.125,221,266,239,0
104.27.122.205,218,261,239,0
104.20.207.23,226,258,239,0
104.27.83.246,223,260,239,0
104.20.61.113,217,335,239,0
104.22.9.208,228,256,239,0
104.20.59.77,225,255,239,0
